TOP1-TOP1-TOP1-TOP1,659
TOP1-TOP1-TOP1-TOP2,493
TOP1-TOP1-TOP1-TOP3,313
TOP1-TOP1-TOP1-TOP4,175
TOP1-TOP1-TOP1-TOP5,156
TOP1-TOP1-TOP1-TOP6,138
TOP1-TOP1-TOP2-TOP1,259
TOP1-TOP1-TOP2-TOP2,84
TOP1-TOP1-TOP2-TOP3,76
TOP1-TOP1-TOP2-TOP4,45
TOP1-TOP1-TOP2-TOP5,35
TOP1-TOP1-TOP2-TOP6,34
TOP1-TOP1-TOP3-TOP1,229
TOP1-TOP1-TOP3-TOP2,59
TOP1-TOP1-TOP3-TOP3,41
TOP1-TOP1-TOP3-TOP4,33
TOP1-TOP1-TOP3-TOP5,24
TOP1-TOP1-TOP3-TOP6,10
TOP1-TOP1-TOP4-TOP1,185
TOP1-TOP1-TOP4-TOP2,36
TOP1-TOP1-TOP4-TOP3,35
TOP1-TOP1-TOP4-TOP4,35
TOP1-TOP1-TOP4-TOP5,22
TOP1-TOP1-TOP4-TOP6,20
TOP1-TOP1-TOP5-TOP1,120
TOP1-TOP1-TOP5-TOP2,91
TOP1-TOP1-TOP5-TOP3,41
TOP1-TOP1-TOP5-TOP4,36
TOP1-TOP1-TOP5-TOP5,35
TOP1-TOP1-TOP5-TOP6,26
TOP1-TOP1-TOP6-TOP1,208
TOP1-TOP1-TOP6-TOP2,41
TOP1-TOP1-TOP6-TOP3,27
TOP1-TOP1-TOP6-TOP4,24
TOP1-TOP1-TOP6-TOP5,16
TOP1-TOP1-TOP6-TOP6,12
TOP1-TOP2-TOP1-TOP1,79
TOP1-TOP2-TOP1-TOP2,61
TOP1-TOP2-TOP1-TOP3,25
TOP1-TOP2-TOP1-TOP4,17
TOP1-TOP2-TOP1-TOP5,6
TOP1-TOP2-TOP1-TOP6,5
TOP1-TOP2-TOP2-TOP1,80
TOP1-TOP2-TOP2-TOP2,40
TOP1-TOP2-TOP2-TOP3,6
TOP1-TOP2-TOP2-TOP4,2
TOP1-TOP2-TOP2-TOP5,1
TOP1-TOP2-TOP3-TOP1,40
TOP1-TOP2-TOP3-TOP2,31
TOP1-TOP2-TOP3-TOP3,17
TOP1-TOP2-TOP3-TOP4,13
TOP1-TOP2-TOP3-TOP5,4
TOP1-TOP2-TOP3-TOP6,1
TOP1-TOP2-TOP4-TOP1,51
TOP1-TOP2-TOP4-TOP2,13
TOP1-TOP2-TOP4-TOP3,1
TOP1-TOP2-TOP5-TOP1,11
TOP1-TOP2-TOP6-TOP1,6
TOP1-TOP3-TOP1-TOP1,25
TOP1-TOP3-TOP2-TOP1,3
TOP1-TOP3-TOP3-TOP1,2
TOP1-TOP3-TOP3-TOP2,1
TOP1-TOP3-TOP4-TOP1,1
TOP1-TOP4-TOP1-TOP1,4
TOP1-TOP5-TOP1-TOP1,2
TOP1-TOP6-TOP1-TOP1,1
TOP2-TOP1-TOP1-TOP1,81
TOP2-TOP1-TOP1-TOP2,62
TOP2-TOP1-TOP1-TOP3,62
TOP2-TOP1-TOP1-TOP4,39
TOP2-TOP1-TOP1-TOP5,37
TOP2-TOP1-TOP1-TOP6,25
TOP2-TOP1-TOP2-TOP1,81
TOP2-TOP1-TOP2-TOP2,76
TOP2-TOP1-TOP2-TOP3,70
TOP2-TOP1-TOP2-TOP4,55
TOP2-TOP1-TOP2-TOP5,33
TOP2-TOP1-TOP2-TOP6,31
TOP2-TOP1-TOP3-TOP1,213
TOP2-TOP1-TOP3-TOP2,7
TOP2-TOP1-TOP3-TOP3,5
TOP2-TOP1-TOP4-TOP1,61
TOP2-TOP1-TOP4-TOP2,26
TOP2-TOP1-TOP4-TOP3,21
TOP2-TOP1-TOP4-TOP4,19
TOP2-TOP1-TOP4-TOP5,19
TOP2-TOP1-TOP4-TOP6,14
TOP2-TOP1-TOP5-TOP1,46
TOP2-TOP1-TOP5-TOP2,41
TOP2-TOP1-TOP5-TOP3,37
TOP2-TOP1-TOP5-TOP4,3
TOP2-TOP1-TOP5-TOP5,2
TOP2-TOP1-TOP5-TOP6,1
TOP2-TOP1-TOP6-TOP1,34
TOP2-TOP1-TOP6-TOP2,18
TOP2-TOP1-TOP6-TOP3,17
TOP2-TOP1-TOP6-TOP4,8
TOP2-TOP1-TOP6-TOP5,3
TOP2-TOP1-TOP6-TOP6,1
TOP2-TOP2-TOP1-TOP1,215
